ue_idx,serving_cell,demand_active,served_this_tti,assigned_prg_count,planned_selected_slot_count,planned_selected_slot_this_tti,planned_served_this_tti,planned_assigned_prg_count,accepted_pre_pdsch_diagnostics_available,accepted_pre_pdsch_served_this_tti,accepted_pre_pdsch_assigned_prg_count,actual_diagnostics_available,actual_served_this_tti,actual_goodput_served_this_tti,actual_assigned_prg_count,actual_served_bytes,actual_goodput_bytes,actual_tb_tx_count,actual_tb_err_count,backlog_bytes,hol_delay_ms,ttl_slack_ms,recent_scheduled_ratio_feat,recent_goodput_deficit_norm_feat,no_service_streak,no_goodput_streak,planned_accepted_pre_pdsch_prg_delta,accepted_pre_pdsch_actual_prg_delta,planned_but_pre_pdsch_dropped_this_tti,accepted_pre_pdsch_but_final_dropped_this_tti,planned_native_prg_delta,planned_but_native_dropped_this_tti,recent100_demand_tti,recent100_served_tti,recent100_goodput_served_tti,recent100_service_rate,recent100_goodput_service_rate,recent100_backlog_demand_mean_bytes,recent100_unserved_backlog_mean_bytes,recent100_effective_prg_mean,recent100_goodput_bytes_mean,recent100_debt_score_bytes
0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,13424.0,13424.0,1.0,0.0,10424.0,1.5,198.5,0.18602915108203888,0.12068440020084381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,24.0,23.0,0.3478260934352875,0.3333333432674408,7096.69580078125,3608.347900390625,0.33000001311302185,3060.0,10557.6806640625
1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,3216.0,0.0,1.0,1.0,3216.0,1.0,199.0,0.4206741452217102,0.13063302636146545,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,46.0,41.0,0.5054945349693298,0.450549453496933,5993.49462890625,2532.571533203125,1.690000057220459,2791.280029296875,4385.5966796875
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.22482667863368988,0.3988584280014038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,21.0,19.0,0.36206895112991333,0.32758620381355286,6931.03466796875,3672.413818359375,0.7200000286102295,2370.0,3672.413818359375
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.23423299193382263,0.14961181581020355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,23.0,19.0,0.38333332538604736,0.3166666626930237,6502.2666015625,3578.533447265625,0.3700000047683716,2111.360107421875,3578.533447265625
4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1072.0,1.0,199.0,0.3062296211719513,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,28.0,26.0,0.41791045665740967,0.38805970549583435,6306.74609375,2776.358154296875,0.4000000059604645,2871.52001953125,3501.00537109375
5.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,5.0,1.0,1.0,5.0,1.0,1.0,1.0,5.0,9904.0,9904.0,1.0,0.0,9024.0,1.0,199.0,0.3631550967693329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,38.0,37.0,0.5,0.4868420958518982,5937.15771484375,2091.26318359375,1.4800000190734863,2663.919921875,6722.0
6.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6000.0,6000.0,1.0,0.0,6000.0,0.5,199.5,0.2618311047554016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,25.0,23.0,0.36231884360313416,0.3333333432674408,7070.60888671875,3265.623291015625,0.36000001430511475,3240.0,7265.623046875
7.0,0.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,6000.0,6000.0,1.0,0.0,6000.0,0.5,199.5,0.32797664403915405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,29.0,26.0,0.49152541160583496,0.4406779706478119,6711.8642578125,2847.45751953125,0.800000011920929,3120.0,6203.3896484375
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.254091739654541,0.10441360622644424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,25.0,22.0,0.3787878751754761,0.3333333432674408,7311.7578125,4020.60595703125,0.5699999928474426,2760.0,4020.60595703125
9.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,12000.0,12000.0,1.0,0.0,6000.0,0.5,199.5,0.28001514077186584,0.25175178050994873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,26.0,23.0,0.4642857015132904,0.4107142984867096,5914.28564453125,2689.28564453125,0.47999998927116394,2310.0,6225.0
10.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2976.0,2976.0,1.0,0.0,14928.0,2.5,197.5,0.6699320673942566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,66.0,60.0,0.6600000262260437,0.6000000238418579,17736.0,5853.919921875,1.3799999952316284,2822.320068359375,11825.119140625
11.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,3976.0,3976.0,1.0,0.0,7096.0,1.5,198.5,0.9309101700782776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,90.0,82.0,0.8999999761581421,0.8199999928474426,13894.8798828125,1917.3599853515625,1.7699999809265137,3262.39990234375,3194.64013671875
12.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10008.0,1.5,198.5,0.6756818294525146,0.11689916253089905,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,63.0,56.0,0.6299999952316284,0.5600000023841858,9978.240234375,3275.43994140625,1.0800000429153442,2662.800048828125,7909.32861328125
13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.1873721182346344,0.32584348320961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,21.0,18.0,0.3333333432674408,0.2857142984867096,6321.39697265625,3787.174560546875,0.4000000059604645,2016.56005859375,3787.174560546875
14.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,18000.0,18000.0,1.0,0.0,15000.0,1.0,199.0,0.2694406509399414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,27.0,25.0,0.44999998807907104,0.4166666567325592,7100.0,3150.0,0.38999998569488525,2880.0,11900.0009765625
15.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.5,199.5,0.19165056943893433,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,15.0,15.0,0.19736842811107635,0.19736842811107635,12197.3681640625,8960.5263671875,0.2800000011920929,2970.0,11482.10546875
16.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.5,199.5,0.2694614827632904,0.03728201240301132,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,25.0,24.0,0.4166666567325592,0.4000000059604645,5750.0,2600.0,0.44999998807907104,2760.0,4444.0
17.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3096.0,1.5,198.5,0.46990612149238586,0.1966005265712738,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,49.0,47.0,0.5104166865348816,0.4895833432674408,5713.83349609375,2082.666748046875,1.4600000381469727,2714.47998046875,3736.1748046875
18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.26607391238212585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,27.0,25.0,0.44999998807907104,0.4166666567325592,6950.0,2950.0,0.4000000059604645,3150.0,2950.0
19.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6000.0,0.5,199.5,0.19015929102897644,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,19.0,18.0,0.2638888955116272,0.25,8587.6669921875,5780.66650390625,0.2800000011920929,2580.0,10383.47265625
20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4768.0,1.5,198.5,0.6699225306510925,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,68.0,60.0,0.6800000071525574,0.6000000238418579,9575.6796875,3108.159912109375,1.8300000429153442,3256.0,5065.51318359375
21.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,6408.0,0.0,1.0,1.0,12088.0,1.5,198.5,0.8191431164741516,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,73.0,65.0,0.7373737096786499,0.6565656661987305,12285.4951171875,3306.5859375,1.3200000524520874,2962.639892578125,7607.18017578125
22.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704.0,3.5,196.5,0.657967209815979,0.021126102656126022,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,78.0,72.0,0.7799999713897705,0.7200000286102295,15279.51953125,2886.239990234375,1.559999942779541,3056.0,3497.89404296875
23.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,3976.0,3976.0,1.0,0.0,8464.0,1.5,198.5,0.4922202229499817,0.4278619587421417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,59.0,54.0,0.6020408272743225,0.5510203838348389,9233.4697265625,3054.040771484375,1.2400000095367432,2411.840087890625,6854.2041015625
24.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10248.0,2.5,197.5,0.4846041202545166,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,49.0,43.0,0.49000000953674316,0.4300000071525574,11690.400390625,5324.31982421875,0.9700000286102295,2854.0,11388.9931640625
