ue_idx,serving_cell,demand_active,served_this_tti,assigned_prg_count,planned_selected_slot_count,planned_selected_slot_this_tti,planned_served_this_tti,planned_assigned_prg_count,accepted_pre_pdsch_diagnostics_available,accepted_pre_pdsch_served_this_tti,accepted_pre_pdsch_assigned_prg_count,actual_diagnostics_available,actual_served_this_tti,actual_goodput_served_this_tti,actual_assigned_prg_count,actual_served_bytes,actual_goodput_bytes,actual_tb_tx_count,actual_tb_err_count,backlog_bytes,hol_delay_ms,ttl_slack_ms,recent_scheduled_ratio_feat,recent_goodput_deficit_norm_feat,no_service_streak,no_goodput_streak,planned_accepted_pre_pdsch_prg_delta,accepted_pre_pdsch_actual_prg_delta,planned_but_pre_pdsch_dropped_this_tti,accepted_pre_pdsch_but_final_dropped_this_tti,planned_native_prg_delta,planned_but_native_dropped_this_tti,recent100_demand_tti,recent100_served_tti,recent100_goodput_served_tti,recent100_service_rate,recent100_goodput_service_rate,recent100_backlog_demand_mean_bytes,recent100_unserved_backlog_mean_bytes,recent100_effective_prg_mean,recent100_goodput_bytes_mean,recent100_debt_score_bytes
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.30688363313674927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,30.0,27.0,0.4109589159488678,0.36986300349235535,6700.27392578125,3200.0,0.4000000059604645,2940.0,3200.0
1.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,7944.0,7944.0,1.0,0.0,9000.0,1.5,198.5,0.3432932496070862,0.3640357553958893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,44.0,38.0,0.47311827540397644,0.40860214829444885,6245.849609375,2712.860107421875,1.7999999523162842,2727.919921875,8035.44140625
2.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,9000.0,9000.0,1.0,0.0,9000.0,1.0,199.0,0.24103610217571259,0.19757038354873657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,24.0,22.0,0.380952388048172,0.3492063581943512,6904.76171875,3476.1904296875,0.800000011920929,2640.0,9333.333984375
3.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12000.0,1.5,198.5,0.22841876745224,0.33071428537368774,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,22.0,19.0,0.3492063581943512,0.30158731341362,7090.79345703125,3973.96826171875,0.4000000059604645,2250.0,12725.5673828125
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.25961241126060486,0.027198201045393944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,28.0,24.0,0.37837839126586914,0.3243243098258972,6144.7568359375,3033.729736328125,0.49000000953674316,2851.60009765625,3033.729736328125
5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.5,199.5,0.4476642310619354,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,42.0,41.0,0.47191011905670166,0.4606741666793823,6772.044921875,2410.2470703125,1.8200000524520874,3151.0400390625,4068.5068359375
6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3736.0,0.5,199.5,0.2559991776943207,0.2002841979265213,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,23.0,19.0,0.31506848335266113,0.2602739632129669,6398.5751953125,3734.684814453125,0.3400000035762787,2410.8798828125,6563.28466796875
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.27972450852394104,0.054600950330495834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,24.0,21.0,0.380952388048172,0.3333333432674408,7285.71435546875,3761.90478515625,0.8500000238418579,2700.0,3761.90478515625
8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.5,199.5,0.26651206612586975,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,26.0,23.0,0.37142857909202576,0.3285714387893677,6818.85693359375,3280.45703125,0.5699999928474426,3390.0,5347.68994140625
9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,2.0,198.0,0.276729941368103,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,33.0,31.0,0.45205479860305786,0.42465752363204956,6582.02734375,2540.931396484375,0.6600000262260437,3584.47998046875,4437.63720703125
