ue_idx,serving_cell,demand_active,served_this_tti,assigned_prg_count,planned_selected_slot_count,planned_selected_slot_this_tti,planned_served_this_tti,planned_assigned_prg_count,accepted_pre_pdsch_diagnostics_available,accepted_pre_pdsch_served_this_tti,accepted_pre_pdsch_assigned_prg_count,actual_diagnostics_available,actual_served_this_tti,actual_goodput_served_this_tti,actual_assigned_prg_count,actual_served_bytes,actual_goodput_bytes,actual_tb_tx_count,actual_tb_err_count,backlog_bytes,hol_delay_ms,ttl_slack_ms,recent_scheduled_ratio_feat,recent_goodput_deficit_norm_feat,no_service_streak,no_goodput_streak,planned_accepted_pre_pdsch_prg_delta,accepted_pre_pdsch_actual_prg_delta,planned_but_pre_pdsch_dropped_this_tti,accepted_pre_pdsch_but_final_dropped_this_tti,planned_native_prg_delta,planned_but_native_dropped_this_tti,recent100_demand_tti,recent100_served_tti,recent100_goodput_served_tti,recent100_service_rate,recent100_goodput_service_rate,recent100_backlog_demand_mean_bytes,recent100_unserved_backlog_mean_bytes,recent100_effective_prg_mean,recent100_goodput_bytes_mean,recent100_debt_score_bytes
0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7424.0,7424.0,1.0,0.0,9000.0,1.0,199.0,0.2542235851287842,0.21410876512527466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,30.0,28.0,0.5357142686843872,0.5,5783.85693359375,2232.28564453125,0.3700000047683716,2724.39990234375,6732.28564453125
1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.5,199.5,0.46769893169403076,0.17942151427268982,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,51.0,48.0,0.5795454382896423,0.5454545617103577,4117.27294921875,1261.0,1.5399999618530273,2375.60009765625,1332.37353515625
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.346764475107193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,29.0,27.0,0.5087719559669495,0.4736842215061188,6646.31591796875,2770.105224609375,0.75,2940.0,2770.105224609375
3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9000.0,1.0,199.0,0.22078418731689453,0.24579356610774994,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,28.0,26.0,0.46666666865348816,0.4333333373069763,5947.86669921875,2752.533447265625,0.4399999976158142,2640.0,8009.58349609375
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.33701521158218384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,31.0,29.0,0.5849056839942932,0.5471698045730591,5464.60400390625,1794.26416015625,0.4399999976158142,2651.360107421875,1794.26416015625
5.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,5968.0,5968.0,1.0,0.0,6296.0,3.0,197.0,0.43231430649757385,0.14217820763587952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,47.0,44.0,0.5662650465965271,0.5301204919815063,4270.072265625,1380.14453125,1.399999976158142,2323.43994140625,4338.505859375
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.3879280388355255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,32.0,27.0,0.4324324429035187,0.36486485600471497,6002.81103515625,2802.37841796875,0.38999998569488525,2802.800048828125,2802.37841796875
7.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,12000.0,12000.0,1.0,0.0,9000.0,1.0,199.0,0.24642816185951233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,28.0,25.0,0.5283018946647644,0.4716981053352356,6622.6416015625,3056.603759765625,0.8799999952316284,2910.0,7811.3212890625
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.3026304543018341,0.18346084654331207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,29.0,27.0,0.6170212626457214,0.5744680762290955,5361.7021484375,1914.8936767578125,0.5199999809265137,2280.0,1914.8936767578125
9.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3240.0,3240.0,1.0,0.0,4336.0,1.0,199.0,0.5298854112625122,0.006686554756015539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,47.0,42.0,0.49473685026168823,0.4421052634716034,6021.64208984375,2642.779052734375,0.8500000238418579,2699.360107421875,5061.810546875
