ue_idx,serving_cell,demand_active,served_this_tti,assigned_prg_count,planned_selected_slot_count,planned_selected_slot_this_tti,planned_served_this_tti,planned_assigned_prg_count,accepted_pre_pdsch_diagnostics_available,accepted_pre_pdsch_served_this_tti,accepted_pre_pdsch_assigned_prg_count,actual_diagnostics_available,actual_served_this_tti,actual_goodput_served_this_tti,actual_assigned_prg_count,actual_served_bytes,actual_goodput_bytes,actual_tb_tx_count,actual_tb_err_count,backlog_bytes,hol_delay_ms,ttl_slack_ms,recent_scheduled_ratio_feat,recent_goodput_deficit_norm_feat,no_service_streak,no_goodput_streak,planned_accepted_pre_pdsch_prg_delta,accepted_pre_pdsch_actual_prg_delta,planned_but_pre_pdsch_dropped_this_tti,accepted_pre_pdsch_but_final_dropped_this_tti,planned_native_prg_delta,planned_but_native_dropped_this_tti,recent100_demand_tti,recent100_served_tti,recent100_goodput_served_tti,recent100_service_rate,recent100_goodput_service_rate,recent100_backlog_demand_mean_bytes,recent100_unserved_backlog_mean_bytes,recent100_effective_prg_mean,recent100_goodput_bytes_mean,recent100_debt_score_bytes
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.5,199.5,0.27974289655685425,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,28.0,25.0,0.4590163826942444,0.4098360538482666,5993.04931640625,2446.163818359375,0.38999998569488525,2826.56005859375,4258.822265625
1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2376.0,1.0,199.0,0.3920865058898926,0.09115365147590637,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,44.0,36.0,0.523809552192688,0.4285714328289032,5360.47607421875,2478.952392578125,1.809999942779541,2386.39990234375,3913.399658203125
2.0,0.0,1.0,1.0,5.0,1.0,1.0,1.0,5.0,1.0,1.0,5.0,1.0,1.0,1.0,5.0,18000.0,18000.0,1.0,0.0,15000.0,1.0,199.0,0.2482180893421173,0.03716585785150528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,28.0,26.0,0.4912280738353729,0.45614033937454224,6526.31591796875,2789.4736328125,0.8199999928474426,2820.0,10947.369140625
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.3210203945636749,0.04413316771388054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,31.0,27.0,0.5961538553237915,0.5192307829856873,6750.0,2480.769287109375,0.5899999737739563,2790.0,2480.769287109375
4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.5,199.5,0.2934825122356415,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,29.0,27.0,0.453125,0.421875,5197.25,2134.5,0.44999998807907104,2594.320068359375,2160.51611328125
5.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,4112.0,4112.0,1.0,0.0,4112.0,0.5,199.5,0.33356112241744995,0.17836815118789673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,39.0,35.0,0.4642857015132904,0.4166666567325592,5073.8095703125,1754.2857666015625,1.6100000143051147,2617.52001953125,4152.95263671875
6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.5,199.5,0.2744346559047699,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,25.0,22.0,0.3731343150138855,0.3283582031726837,6985.07470703125,3537.3134765625,0.3400000035762787,2910.0,5607.76171875
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.28583019971847534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,24.0,23.0,0.3692307770252228,0.35384616255760193,6830.76904296875,3553.84619140625,0.9900000095367432,2970.0,3553.84619140625
8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,1.0,199.0,0.2692853510379791,0.13534069061279297,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,26.0,22.0,0.4406779706478119,0.37288135290145874,6650.16943359375,3459.11865234375,0.5899999737739563,2520.0,5447.2841796875
9.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,14856.0,14856.0,1.0,0.0,12000.0,1.0,199.0,0.2656473219394684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,27.0,25.0,0.44262295961380005,0.4098360538482666,6304.787109375,2847.34423828125,0.5199999809265137,2908.56005859375,9929.3115234375
