ue_idx,serving_cell,demand_active,served_this_tti,assigned_prg_count,planned_selected_slot_count,planned_selected_slot_this_tti,planned_served_this_tti,planned_assigned_prg_count,accepted_pre_pdsch_diagnostics_available,accepted_pre_pdsch_served_this_tti,accepted_pre_pdsch_assigned_prg_count,actual_diagnostics_available,actual_served_this_tti,actual_goodput_served_this_tti,actual_assigned_prg_count,actual_served_bytes,actual_goodput_bytes,actual_tb_tx_count,actual_tb_err_count,backlog_bytes,hol_delay_ms,ttl_slack_ms,recent_scheduled_ratio_feat,recent_goodput_deficit_norm_feat,no_service_streak,no_goodput_streak,planned_accepted_pre_pdsch_prg_delta,accepted_pre_pdsch_actual_prg_delta,planned_but_pre_pdsch_dropped_this_tti,accepted_pre_pdsch_but_final_dropped_this_tti,planned_native_prg_delta,planned_but_native_dropped_this_tti,recent100_demand_tti,recent100_served_tti,recent100_goodput_served_tti,recent100_service_rate,recent100_goodput_service_rate,recent100_backlog_demand_mean_bytes,recent100_unserved_backlog_mean_bytes,recent100_effective_prg_mean,recent100_goodput_bytes_mean,recent100_debt_score_bytes
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9000.0,2.5,197.5,0.2293098270893097,0.3016979396343231,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,28.0,24.0,0.4375,0.375,7401.0,3465.25,0.4699999988079071,3000.0,9544.76171875
1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,4488.0,4488.0,1.0,0.0,7040.0,1.5,198.5,0.5618192553520203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,48.0,43.0,0.5161290168762207,0.46236559748649597,6157.59130859375,2308.55908203125,1.75,2589.60009765625,6093.5048828125
2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,2.0,198.0,0.1968906968832016,0.19543112814426422,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,24.0,21.0,0.375,0.328125,6217.75,2915.25,0.6899999976158142,3018.639892578125,5128.10986328125
3.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,15000.0,15000.0,1.0,0.0,9000.0,1.5,198.5,0.18396274745464325,0.22015908360481262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,23.0,21.0,0.359375,0.328125,7729.125,4355.875,0.4399999976158142,2610.0,10402.75
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.2658263146877289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,27.0,24.0,0.36986300349235535,0.3287671208381653,6979.17822265625,3608.5478515625,0.49000000953674316,2835.760009765625,3608.5478515625
5.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,3960.0,3960.0,1.0,0.0,9000.0,0.5,199.5,0.3666086196899414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,37.0,33.0,0.43023255467414856,0.38372093439102173,5245.767578125,2206.790771484375,1.440000057220459,2757.919921875,7753.302734375
6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,920.0,1.0,199.0,0.20643649995326996,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,22.0,20.0,0.3055555522441864,0.2777777910232544,6838.22216796875,3789.5556640625,0.3400000035762787,2485.840087890625,4543.080078125
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.22689317166805267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,22.0,21.0,0.37931033968925476,0.36206895112991333,6672.41357421875,3155.17236328125,0.7599999904632568,2640.0,3155.17236328125
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.21041959524154663,0.08145641535520554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,21.0,17.0,0.3442623019218445,0.2786885201931,6782.294921875,3907.541015625,0.49000000953674316,2250.0,3907.541015625
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.29279422760009766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,24.0,22.0,0.3478260934352875,0.3188405930995941,6423.5361328125,3269.333251953125,0.44999998807907104,2640.0,3269.333251953125
