ue_idx,serving_cell,demand_active,served_this_tti,assigned_prg_count,planned_selected_slot_count,planned_selected_slot_this_tti,planned_served_this_tti,planned_assigned_prg_count,accepted_pre_pdsch_diagnostics_available,accepted_pre_pdsch_served_this_tti,accepted_pre_pdsch_assigned_prg_count,actual_diagnostics_available,actual_served_this_tti,actual_goodput_served_this_tti,actual_assigned_prg_count,actual_served_bytes,actual_goodput_bytes,actual_tb_tx_count,actual_tb_err_count,backlog_bytes,hol_delay_ms,ttl_slack_ms,recent_scheduled_ratio_feat,recent_goodput_deficit_norm_feat,no_service_streak,no_goodput_streak,planned_accepted_pre_pdsch_prg_delta,accepted_pre_pdsch_actual_prg_delta,planned_but_pre_pdsch_dropped_this_tti,accepted_pre_pdsch_but_final_dropped_this_tti,planned_native_prg_delta,planned_but_native_dropped_this_tti,recent100_demand_tti,recent100_served_tti,recent100_goodput_served_tti,recent100_service_rate,recent100_goodput_service_rate,recent100_backlog_demand_mean_bytes,recent100_unserved_backlog_mean_bytes,recent100_effective_prg_mean,recent100_goodput_bytes_mean,recent100_debt_score_bytes
0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7016.0,7016.0,1.0,0.0,7016.0,1.0,199.0,0.3713536858558655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,35.0,30.0,0.625,0.5357142686843872,7057.85693359375,3027.428466796875,0.4399999976158142,2964.47998046875,6284.857421875
1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.5536173582077026,0.039951715618371964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,55.0,51.0,0.625,0.5795454382896423,5655.45458984375,1673.727294921875,1.8600000143051147,2941.43994140625,1673.727294921875
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.28862693905830383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,27.0,25.0,0.4821428656578064,0.4464285671710968,7064.14306640625,3066.571533203125,0.7099999785423279,2970.0,3066.571533203125
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.354758620262146,0.06758604943752289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,29.0,26.0,0.5,0.4482758641242981,5755.4482421875,2389.103515625,0.47999998927116394,2480.080078125,2389.103515625
4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.5,199.5,0.2896481156349182,0.21555376052856445,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,28.0,25.0,0.42424243688583374,0.3787878751754761,6595.51513671875,3146.060546875,0.44999998807907104,2700.0,5059.79345703125
5.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,4488.0,4488.0,1.0,0.0,4240.0,1.0,199.0,0.49758830666542053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,41.0,38.0,0.46590909361839294,0.4318181872367859,4527.181640625,1919.9090576171875,1.340000033378601,2347.840087890625,4329.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.3622385263442993,0.36181527376174927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,34.0,30.0,0.6938775777816772,0.6122449040412903,5260.73486328125,1898.448974609375,0.3499999940395355,2400.0,1898.448974609375
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.32267633080482483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,31.0,28.0,0.5254237055778503,0.47457626461982727,5898.30517578125,2338.983154296875,0.9300000071525574,3150.0,2338.983154296875
8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4464.0,1.5,198.5,0.28260454535484314,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,31.0,28.0,0.5,0.4516128897666931,6771.35498046875,2866.709716796875,0.6100000143051147,2925.360107421875,5421.00390625
9.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6008.0,6008.0,1.0,0.0,10072.0,2.0,198.0,0.3788565993309021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,37.0,34.0,0.6271186470985413,0.5762711763381958,5722.03369140625,1715.3897705078125,0.5899999737739563,2736.9599609375,5983.1865234375
10.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1480.0,1480.0,1.0,0.0,16000.0,2.0,198.0,0.8315837383270264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,79.0,72.0,0.7900000214576721,0.7200000286102295,14885.6796875,3834.320068359375,1.440000057220459,2595.679931640625,8314.3193359375
11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55368.0,5.5,194.5,0.5361117124557495,0.17874456942081451,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,64.0,55.0,0.6399999856948853,0.550000011920929,17693.83984375,8287.4404296875,1.3700000047683716,2360.39990234375,33867.09765625
12.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1128.0,3.5,196.5,0.7941868901252747,0.19636490941047668,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,72.0,64.0,0.7200000286102295,0.6399999856948853,9025.2001953125,2671.0400390625,1.159999966621399,2205.360107421875,3138.662353515625
13.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.5,199.5,0.3928999602794647,0.26223474740982056,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,34.0,28.0,0.5573770403862,0.4590163826942444,6075.67236328125,2468.983642578125,0.6399999856948853,2515.0400390625,4132.85400390625
14.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6000.0,0.5,199.5,0.2893098294734955,0.10348106175661087,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,29.0,29.0,0.5799999833106995,0.5799999833106995,6120.0,2040.0,0.41999998688697815,2910.0,4605.60009765625
15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.12000253796577454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,9.0,8.0,0.1111111119389534,0.09876543283462524,20058.07421875,16855.703125,0.25,2880.0,16855.703125
16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15000.0,15000.0,1.0,0.0,6000.0,1.0,199.0,0.29545456171035767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,34.0,31.0,0.6938775777816772,0.6326530575752258,5671.34716796875,1473.7958984375,0.5,2970.0,3677.87744140625
17.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,5968.0,5968.0,1.0,0.0,8368.0,3.0,197.0,0.47350218892097473,0.20730358362197876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,53.0,44.0,0.563829779624939,0.4680851101875305,6067.4892578125,2584.936279296875,1.5399999618530273,2428.639892578125,7036.0
18.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5624.0,5624.0,1.0,0.0,7576.0,1.0,199.0,0.42199796438217163,0.06393279880285263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,40.0,35.0,0.5405405163764954,0.47297295928001404,6276.7568359375,2694.810791015625,0.5299999713897705,3057.679931640625,6687.5673828125
19.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10008.0,1.5,198.5,0.14236851036548615,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,13.0,13.0,0.14444445073604584,0.14444445073604584,12414.044921875,9429.421875,0.28999999165534973,2689.919921875,18531.57421875
20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.0,1.5,198.5,0.5904990434646606,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,54.0,51.0,0.5400000214576721,0.5099999904632568,8198.9599609375,3046.8798828125,1.4500000476837158,2652.39990234375,3200.083984375
