ue_idx,serving_cell,demand_active,served_this_tti,assigned_prg_count,planned_selected_slot_count,planned_selected_slot_this_tti,planned_served_this_tti,planned_assigned_prg_count,accepted_pre_pdsch_diagnostics_available,accepted_pre_pdsch_served_this_tti,accepted_pre_pdsch_assigned_prg_count,actual_diagnostics_available,actual_served_this_tti,actual_goodput_served_this_tti,actual_assigned_prg_count,actual_served_bytes,actual_goodput_bytes,actual_tb_tx_count,actual_tb_err_count,backlog_bytes,hol_delay_ms,ttl_slack_ms,recent_scheduled_ratio_feat,recent_goodput_deficit_norm_feat,no_service_streak,no_goodput_streak,planned_accepted_pre_pdsch_prg_delta,accepted_pre_pdsch_actual_prg_delta,planned_but_pre_pdsch_dropped_this_tti,accepted_pre_pdsch_but_final_dropped_this_tti,planned_native_prg_delta,planned_but_native_dropped_this_tti,recent100_demand_tti,recent100_served_tti,recent100_goodput_served_tti,recent100_service_rate,recent100_goodput_service_rate,recent100_backlog_demand_mean_bytes,recent100_unserved_backlog_mean_bytes,recent100_effective_prg_mean,recent100_goodput_bytes_mean,recent100_debt_score_bytes
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6000.0,1.0,199.0,0.22330763936042786,0.10670594125986099,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,24.0,23.0,0.4285714328289032,0.4107142984867096,5474.85693359375,2267.71435546875,0.3199999928474426,2430.0,5919.4970703125
1.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,8760.0,8760.0,1.0,0.0,8760.0,1.5,198.5,0.5075758099555969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,47.0,46.0,0.5,0.4893617033958435,4559.06396484375,954.2127685546875,1.8899999856948853,2942.080078125,5427.404296875
2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6000.0,0.5,199.5,0.30547818541526794,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,28.0,25.0,0.4912280738353729,0.4385964870452881,5627.64892578125,2315.78955078125,0.8299999833106995,2790.0,5741.05322265625
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.2910554111003876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,28.0,26.0,0.5283018946647644,0.49056604504585266,5283.169921875,1884.2264404296875,0.5,2520.0,1884.2264404296875
4.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,12664.0,12664.0,1.0,0.0,9664.0,1.5,198.5,0.34145456552505493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,28.0,25.0,0.4375,0.390625,6580.0,3405.25,0.44999998807907104,2479.360107421875,9294.25
5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.0,0.5,199.5,0.46251967549324036,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,40.0,37.0,0.4444444477558136,0.41111111640930176,3883.111083984375,1264.177734375,1.2100000381469727,2235.360107421875,1424.3243408203125
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.23840835690498352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,23.0,20.0,0.3333333432674408,0.28985506296157837,6607.5361328125,3347.478271484375,0.3199999928474426,2760.0,3347.478271484375
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.30921366810798645,0.05815287306904793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,28.0,23.0,0.48275861144065857,0.3965517282485962,5379.310546875,2327.586181640625,0.9599999785423279,2310.0,2327.586181640625
8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6000.0,1.0,199.0,0.2822948694229126,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,27.0,25.0,0.4821428656578064,0.4464285671710968,5517.85693359375,2196.428466796875,0.5400000214576721,2370.0,5628.21435546875
9.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,7392.0,7392.0,1.0,0.0,7240.0,2.0,198.0,0.38231027126312256,0.1399926394224167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,49.0,47.0,0.5444444417953491,0.5222222208976746,7056.4443359375,2173.51123046875,0.9300000071525574,3072.9599609375,5632.6220703125
